Nose X,Nose Y,Neck X,Neck Y,Right Shoulder X,Right Shoulder Y,Right Elbow X,Right Elbow Y,Right Wrist X,Right Wrist Y,Left Shoulder X,Left Shoulder Y,Left Elbow X,Left Elbow Y,Left Wrist X,Left Wrist Y,Right Hip X,Right Hip Y,Right Knee X,Right Knee Y,Right Ankle X,Right Ankle Y,Left Hip X,Left Hip Y,Left Knee X,Left Knee Y,Left Ankle X,Left Ankle Y,Right Eye X,Right Eye Y,Left Eye X,Left Eye Y,Right Ear X,Right Ear Y,Left Ear X,Left Ear Y,Activity
396.2962963,208.6956522,377.7777778,278.2608696,362.962963,282.6086957,362.962963,282.6086957,362.962963,282.6086957,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,385.1851852,200,385.1851852,200,362.962963,217.3913043,362.962963,217.3913043,dancing
311.1111111,303.2608696,338.8888889,283.6956522,330.5555556,288.5869565,330.5555556,288.5869565,330.5555556,288.5869565,341.6666667,278.8043478,341.6666667,278.8043478,341.6666667,278.8043478,419.4444444,435.326087,419.4444444,435.326087,419.4444444,435.326087,405.5555556,420.6521739,288.8888889,459.7826087,313.8888889,572.2826087,313.8888889,572.2826087,308.3333333,288.5869565,308.3333333,288.5869565,311.1111111,264.1304348,dancing
288.9722222,98.04347826,323.3055556,124.7826087,309,129.2391304,300.4166667,158.2065217,303.2777778,149.2934783,349.0555556,109.1847826,383.3888889,86.90217391,383.3888889,86.90217391,314.7222222,182.7173913,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,286.1111111,91.35869565,294.6944444,91.35869565,294.6944444,91.35869565,317.5833333,91.35869565,dancing
412.9537037,487.5,449.037037,536.9565217,461.0648148,522.826087,461.0648148,522.826087,461.0648148,522.826087,449.037037,544.0217391,449.037037,544.0217391,449.037037,544.0217391,505.1666667,657.0652174,533.2314815,741.8478261,533.2314815,741.8478261,489.1296296,657.0652174,396.9166667,854.8913043,324.75,1010.326087,324.75,1010.326087,324.75,1010.326087,324.75,1010.326087,412.9537037,501.6304348,dancing
131.1111111,44.13043478,124.5555556,63.04347826,116.9074074,65.56521739,98.33333333,73.13043478,88.5,75.65217391,128.9259259,60.52173913,128.9259259,60.52173913,128.9259259,60.52173913,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,127.8333333,42.86956522,127.8333333,42.86956522,119.0925926,49.17391304,119.0925926,49.17391304,dancing
586.6805556,234.7826087,538.712963,300,487.0555556,273.9130435,435.3981481,306.5217391,435.3981481,306.5217391,597.75,326.0869565,597.75,482.6086957,649.4074074,600,405.8796296,508.6956522,365.2916667,769.5652174,546.0925926,945.6521739,490.7453704,528.2608696,416.9490741,763.0434783,391.1203704,997.826087,571.9212963,215.2173913,601.4398148,208.6956522,542.4027778,221.7391304,542.4027778,221.7391304,dancing
182.9444444,104.3478261,150.8055556,140.2173913,108.7777778,143.4782609,79.11111111,163.0434783,79.11111111,163.0434783,187.8888889,136.9565217,187.8888889,136.9565217,187.8888889,136.9565217,178,286.9565217,227.4444444,414.1304348,178,502.173913,217.5555556,257.6086957,318.9166667,267.3913043,388.1388889,332.6086957,180.4722222,91.30434783,180.4722222,91.30434783,148.3333333,81.52173913,148.3333333,81.52173913,dancing
192.5324074,97.82608696,217.9212963,127.173913,179.837963,120.6521739,150.2175926,169.5652174,158.6805556,110.8695652,262.3518519,117.3913043,304.6666667,189.1304348,315.2453704,270.6521739,181.9537037,283.6956522,154.4490741,414.1304348,143.8703704,525,241.1944444,293.4782609,226.3842593,417.3913043,319.4768519,521.7391304,188.3009259,91.30434783,203.1111111,88.04347826,203.1111111,88.04347826,222.1527778,78.26086957,dancing
396.2962963,208.6956522,377.7777778,278.2608696,362.962963,282.6086957,362.962963,282.6086957,362.962963,282.6086957,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,403.7037037,273.9130435,385.1851852,200,385.1851852,200,362.962963,217.3913043,362.962963,217.3913043,dancing
311.1111111,303.2608696,338.8888889,283.6956522,330.5555556,288.5869565,330.5555556,288.5869565,330.5555556,288.5869565,341.6666667,278.8043478,341.6666667,278.8043478,341.6666667,278.8043478,419.4444444,435.326087,419.4444444,435.326087,419.4444444,435.326087,405.5555556,420.6521739,288.8888889,459.7826087,313.8888889,572.2826087,313.8888889,572.2826087,308.3333333,288.5869565,308.3333333,288.5869565,311.1111111,264.1304348,dancing
288.9722222,98.04347826,323.3055556,124.7826087,309,129.2391304,300.4166667,158.2065217,303.2777778,149.2934783,349.0555556,109.1847826,383.3888889,86.90217391,383.3888889,86.90217391,314.7222222,182.7173913,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,337.6111111,222.826087,286.1111111,91.35869565,294.6944444,91.35869565,294.6944444,91.35869565,317.5833333,91.35869565,dancing
412.9537037,487.5,449.037037,536.9565217,461.0648148,522.826087,461.0648148,522.826087,461.0648148,522.826087,449.037037,544.0217391,449.037037,544.0217391,449.037037,544.0217391,505.1666667,657.0652174,533.2314815,741.8478261,533.2314815,741.8478261,489.1296296,657.0652174,396.9166667,854.8913043,324.75,1010.326087,324.75,1010.326087,324.75,1010.326087,324.75,1010.326087,412.9537037,501.6304348,dancing
131.1111111,44.13043478,124.5555556,63.04347826,116.9074074,65.56521739,98.33333333,73.13043478,88.5,75.65217391,128.9259259,60.52173913,128.9259259,60.52173913,128.9259259,60.52173913,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,136.5740741,92.04347826,127.8333333,42.86956522,127.8333333,42.86956522,119.0925926,49.17391304,119.0925926,49.17391304,dancing
